school_name,status,active_url,num_pdfs,,,
ARKANSAS COLLEGE OF BARBERING & HAIR DESIGN,200,1,,,,
ARKANSAS COLLEGES OF HEALTH EDUCATION,403,0,0,,,
ARKANSAS NORTHEASTERN COLLEGE,200,1,,,,
ARKANSAS STATE UNIVERSITY,200,1,,,,
ARKANSAS STATE UNIVERSITY - BEEBE,200,1,,,,
ARKANSAS STATE UNIVERSITY MID-SOUTH,Invalid URL 'https://': No host supplied,0,0,,,
ARKANSAS STATE UNIVERSITY MOUNTAIN HOME,200,1,,,,
ARKANSAS STATE UNIVERSITY-NEWPORT,200,1,,,,
ARKANSAS TECH UNIVERSITY,200,1,,,,
ARKANSAS WELDING ACADEMY,200,1,,,,
ARTHUR'S BEAUTY COLLEGE,200,1,,,,
BAPTIST HEALTH DBA BAPTIST HEALTH COLLEGE LITTLE ROCK,403,0,0,,,
BLACK RIVER TECHNICAL COLLEGE,200,1,,,,
"CENTRAL BAPTIST COLLEGE, INC.",403,0,0,,,
CHAMPION CHRISTIAN COLLEGE,200,1,,,,
COLLEGE OF THE OUACHITAS,"HTTPSConnectionPool(host='asutr.edu', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1125)')))",0,0,,,
COSSATOT COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS,200,1,,,,
CROWLEY'S RIDGE COLLEGE,200,1,,,,
DESIGNER BARBER & STYLIST SCHOOL,200,1,,,,
EAST ARKANSAS COMMUNITY COLLEGE,200,1,,,,
EASTERN COLLEGE OF HEALTH VOCATIONS,406,0,0,,,
ECCLESIA INC,406,0,0,,,
GOODFELLAS BARBER COLLEGE,200,1,,,,
"HARDING UNIVERSITY, INC.",200,1,,,,
HENDERSON STATE UNIVERSITY,200,1,,,,
HENDRIX COLLEGE,200,1,,,,
"HOT SPRINGS BEAUTY COLLEGE, INC.",406,0,0,,,
JOHN BROWN UNIVERSITY,200,1,,,,
KELLEY EDUCATION INC.,200,1,,,,
LACODA MANAGEMENT COMPANY DBA ARKANSAS BEAUTY SCHOOL-LR,200,1,,,,
LEON'S INC.,200,1,,,,
